ID,FlavorTitle,Act,Players,Suit,Graphic 1,Graphic 2,Proj Cost,Cost,Bargain,Notes,TextLayoutType,MainText,Text1Printed,Text1,Text2,$,Bandits,Cows,Graphic Layout Type,@maingraphic,@suitPNG,@graphic1PNG,@graphic2PNG,@act
1,Picayune,1,,Cactus,$1,,$1.5,$2,$0.5,,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/Cactus-01.png,,,./assets/Act1-01.png
2,,91,DEPRECATED,Cactus,1 Cow,,,$2,$2.0,REMOVED ACT 1; 4+P,,,,,,$0.0,,1,Main,./assets/1 Cow-01.png,./assets/Cactus-01.png,,,
3,,91,DEPRECATED,Cactus,1 Cow,If Drawn 1st + Cow,,$3,$3.0,REMOVED ACT 1; 4+P,,,,,,$0.0,,,Double,,./assets/Cactus-01.png,./assets/1 Cow-01.png,./assets/If Drawn 1st + Cow-01.png,
4,,92,DEPRECATED,Cactus,,,,$6,$6.0,REMOVED ACT 2; 4+P,Main Text,Swap this Card for ANY Currently Revealed Card. Activate on your turn during Buy Phase.,,Swap this Card for ANY Currently Revealed Card. Activate on your turn during Buy Phase.,,$0.0,,,,,./assets/Cactus-01.png,,,
5,Abandoned Gold Mine,2,,Rattlesnake,One-Time Use,$3,$3.0*,$3,,,,,,,,$1.8,,,Double,,./assets/Rattlesnake-01.png,./assets/One-Time Use-01.png,./assets/$3-01.png,./assets/Act2-01.png
6,Liberty Head Nickel,2,,Cactus,$2,,$4.0,$4,,,,,,,,$2.0,,,Main,./assets/$2-01.png,./assets/Cactus-01.png,,,./assets/Act2-01.png
7,,92,DEPRECATED,Cactus,,,,$4,$4.0,REMOVED ACT 2; 4+P,Main Text,Copy Next Card,,Copy Next Card,,$0.0,,,,,./assets/Cactus-01.png,,,
8,,93,DEPRECATED,Cactus,1 Bandit,4 Cows,,$7,$7.0,REMOVED ACT 3; 4+P,,,,,,$0.0,1,4,Double,,./assets/Cactus-01.png,./assets/1 Bandit-01.png,./assets/4 Cows-01.png,
9,Overturned Stagecoach,3,,Cactus,$3,2 Cows,$8.0,$8,,,,,,,,$3.0,,2,Double,,./assets/Cactus-01.png,./assets/$3-01.png,./assets/2 Cows-01.png,./assets/Act3-01.png
10,Picayune,1,,Cactus,$1,,$1.5,$2,$0.5,,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/Cactus-01.png,,,./assets/Act1-01.png
11,Lost Cow,1,,Cactus,1 Cow,,$2.0,$2,,,,,,,,$0.0,,1,Main,./assets/1 Cow-01.png,./assets/Cactus-01.png,,,./assets/Act1-01.png
12,Lost Cow,1,,Cactus,1 Cow,,$2.0,$2,,,,,,,,$0.0,,1,Main,./assets/1 Cow-01.png,./assets/Cactus-01.png,,,./assets/Act1-01.png
13,,91,DEPRECATED,Cactus,1 Cow,,,$2,$2.0,REMOVED ACT 1,,,,,,$0.0,,1,Main,./assets/1 Cow-01.png,./assets/Cactus-01.png,,,
14,,91,DEPRECATED,Cactus,,One-Time Use,,$2,$2.0,REMOVED ACT 1,,,Go 1st In Buy Phase,Go 1st In Buy Phase,,$0.0,,,Double,,./assets/Cactus-01.png,,./assets/One-Time Use-01.png,
15,,91,DEPRECATED,Cactus,1 Cow,If Drawn 1st + Cow,,$3,$3.0,REMOVED ACT 1,,,,,,$0.0,,,Double,,./assets/Cactus-01.png,./assets/1 Cow-01.png,./assets/If Drawn 1st + Cow-01.png,
16,Abandoned Gold Mine,2,,Rattlesnake,One-Time Use,$3,$3.0*,$3,,,,,,,,$1.8,,,Double,,./assets/Rattlesnake-01.png,./assets/One-Time Use-01.png,./assets/$3-01.png,./assets/Act2-01.png
17,,92,DEPRECATED,Cactus,1 Bandit,$4,,$3,$3.0,REMOVED ACT 2,,,,,,$4.0,1,,Double,,./assets/Cactus-01.png,./assets/1 Bandit-01.png,./assets/$4-01.png,
